participantId,task,duration_sec,format
673c13c9d37c8a73bc80b8ce,reading-task-tabular-3,50.655,json
673c13c9d37c8a73bc80b8ce,reading-task-tabular-3_post-task-question,9.185,json
673c13c9d37c8a73bc80b8ce,reading-task-tabular-4,56.588,json
673c13c9d37c8a73bc80b8ce,reading-task-tabular-4_post-task-question,6.101,json
673c13c9d37c8a73bc80b8ce,reading-task-tabular-5,95.459,json
673c13c9d37c8a73bc80b8ce,reading-task-tabular-5_post-task-question,5.346,json
673c13c9d37c8a73bc80b8ce,writing-task-tabular,900.1933804079999,json
673c13c9d37c8a73bc80b8ce,writing-task-tabular_post-task-question,12.124,json
673c13c9d37c8a73bc80b8ce,modifying-task-tabular-1,150.123,json
673c13c9d37c8a73bc80b8ce,modifying-task-tabular-1_post-task-question,4.84,json
673c13c9d37c8a73bc80b8ce,modifying-task-tabular-2,240.375,json
673c13c9d37c8a73bc80b8ce,modifying-task-tabular-2_post-task-question,11.679,json
673c13c9d37c8a73bc80b8ce,modifying-task-tabular-3,127.401,json
673c13c9d37c8a73bc80b8ce,modifying-task-tabular-3_post-task-question,8.555,json
673c13c9d37c8a73bc80b8ce,modifying-task-tabular-4,461.317,json
673c13c9d37c8a73bc80b8ce,modifying-task-tabular-4_post-task-question,11.824,json
673c13c9d37c8a73bc80b8ce,$nasa-tlx.co.nasa-tlx,66.625,json
673c13c9d37c8a73bc80b8ce,post-task-survey-tlx,100.274,json
66992f58a7964f557fc75f58,introduction,54.983,toml
66992f58a7964f557fc75f58,qualifications,5.118,toml
66992f58a7964f557fc75f58,consent,24.801,toml
66992f58a7964f557fc75f58,task,2.145,toml
66992f58a7964f557fc75f58,writing-task-NL,120.2,toml
66992f58a7964f557fc75f58,writing-task-NL_post-task-question,5.888,toml
66992f58a7964f557fc75f58,tutorial-part1,243.668,toml
66992f58a7964f557fc75f58,tutorial-part2,52.782,toml
66992f58a7964f557fc75f58,reading-task-tabular-1,458.479,toml
66992f58a7964f557fc75f58,reading-task-tabular-1_post-task-question,3.564,toml
66992f58a7964f557fc75f58,reading-task-tabular-2,15.668,toml
66992f58a7964f557fc75f58,reading-task-tabular-2_post-task-question,2.215,toml
66992f58a7964f557fc75f58,reading-task-tabular-3,1861.23,toml
66992f58a7964f557fc75f58,reading-task-tabular-3_post-task-question,2.616,toml
66992f58a7964f557fc75f58,reading-task-tabular-4,39.691,toml
66992f58a7964f557fc75f58,reading-task-tabular-4_post-task-question,2.564,toml
66992f58a7964f557fc75f58,reading-task-tabular-5,298.362,toml
66992f58a7964f557fc75f58,reading-task-tabular-5_post-task-question,4.088,toml
66992f58a7964f557fc75f58,writing-task-tabular,91.4071114624506,toml
66992f58a7964f557fc75f58,writing-task-tabular_post-task-question,4.67,toml
66992f58a7964f557fc75f58,modifying-task-tabular-1,68.629,toml
66992f58a7964f557fc75f58,modifying-task-tabular-1_post-task-question,4.429,toml
